gvkey,conm,tic,cusip,cik,sic,naics,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
001000,A & E PLASTIK PAK INC,AE.2,000032102,,3089,,P,01,LU,25881,23369,1970-11-13,1978-06-30
001001,A & M FOOD SERVICES INC,AMFD.,000165100,0000723576,5812,722,P,01,LU,10015,6398,1983-09-20,1986-07-31
001002,AAI CORP,AAIC.1,000352104,0001306124,3825,,C,01,LC,10023,22159,1972-12-14,1973-06-05
001003,A.A. IMPORTING CO INC,ANTQ,000354100,0000730052,5712,442110,C,01,LU,10031,6672,1983-12-07,1989-08-16
001004,AAR CORP,AIR,000361105,0000001750,5080,423860,P,01,LU,54594,20000,1972-04-24,E
001005,A.B.A. INDUSTRIES INC,ABA.2,000370106,,3724,,C,01,LU,61903,11,1973-01-31,1983-01-31
001007,ABKCO INDUSTRIES INC,4135B,000774109,0000001882,3652,334612,P,01,LU,10058,20,1979-01-31,1984-09-28
001007,ABKCO INDUSTRIES INC,4135B,000774109,0000001882,3652,334612,C,00X,LU,10058,20,1973-10-01,1979-01-30
001008,ABM COMPUTER SYSTEMS INC,ABMC.,000775106,,3577,334119,P,01,LC,10066,6331,1983-08-25,1987-02-26
001009,ABS INDUSTRIES INC,ABSI.1,000781104,0000313368,3460,3321,C,01,LC,10074,5271,1982-01-18,1996-03-13
001010,ACF INDUSTRIES INC,4165A,00099V004,0000910627,3743,336510,P,01,LU,10006,22156,1962-01-31,1984-06-28
001010,ACF INDUSTRIES INC,4165A,00099V004,0000910627,3743,336510,C,00X,LU,10006,22156,1950-05-01,1962-01-30
001011,ACS ENTERPRISES INC,ACSE,000872309,0000702511,4841,5132,P,01,LC,10082,5793,1983-03-21,1995-09-28
001012,ACS INDUSTRIES INC,6927B,000874107,0000002134,3357,331491,P,01,LU,10103,52,1978-01-31,1989-12-29
001013,ADC TELECOMMUNICATIONS INC,ADCT.1,000886309,0000061478,3661,334210,P,01,LU,50906,2902,1979-03-16,2010-12-31
001015,ADI ELECTRONICS INC,4327B,000893107,0000354609,3678,334417,P,01,LU,66405,5204,1982-01-29,1986-10-31
001016,AEC INC,AECE,001015106,0000317539,3585,333415,P,01,LC,10146,314,1977-11-30,1988-04-26
001016,AEC INC,AECE,001015106,0000317539,3585,333415,C,00X,LC,10146,314,1973-11-01,1977-11-29
001017,AEL INDUSTRIES  -CL A,AELNA,001030105,0000004911,3812,334511,P,01,LC,10154,81,1972-12-14,1996-02-29
001018,AES TECHNOLOGY SYSTEMS INC,2938B,001032101,0000002638,3861,333315,C,01,LU,10162,88,1979-01-31,1981-03-04
001018,AES TECHNOLOGY SYSTEMS INC,2938B,001032101,0000002638,3861,333315,C,00X,LU,10162,88,1973-07-01,1979-01-30
001019,AFA PROTECTIVE SYSTEMS INC,AFAP,001038108,0000002668,7380,561621,C,01,LC,10189,93,1972-12-14,1988-02-09
001020,AFG INDUSTRIES INC,5548C,001054931,0000007668,3211,327211,P,02,LC,68806,100,1972-12-14,1988-04-05
001021,AFP IMAGING CORP,IWKS,001058205,0000319126,3844,334517,P,01,LU,10218,109,1980-10-14,1999-03-19
001022,AGM INDUSTRIES INC,AGMN.1,001220102,0000002801,3714,,P,01,LU,10234,118,1976-08-31,1983-07-28
001022,AGM INDUSTRIES INC,AGMN.1,001220102,0000002801,3714,,C,00X,LU,10234,118,1973-07-01,1976-08-30
001023,AGS COMPUTERS INC,AGS.2,001240100,0000002844,5045,421430,P,01,LU,66755,5542,1982-06-09,1988-10-05
001024,A I A INDUSTRIES INC,AIAQ,001320100,0001749211,4522,4812,P,01,LU,10269,6202,1983-07-21,1984-09-28
